"","X","sources","Record_1_Nb_peaks","Record_1_Peak_intensity_max_peak_1","Record_1_Frequency_factor_peak_1","Record_1_Peak_intensity_integrated_peak_1","Record_1_Peak_intensity_integrated_relative_peak_1","Record_1_Peak_temperature_peak_1","Record_1_Peak_intensity_peak_1","Record_1_Nb_components","Record_1_Cross_section_component_1","Record_1_Cross_section_component_2","Record_1_Cross_section_component_3","Record_1_Cross_section_relative_component_1","Record_1_Cross_section_relative_component_2","Record_1_Cross_section_relative_component_3","Record_1_Intensity_component_1","Record_1_Intensity_component_2","Record_1_Intensity_component_3","Record_1_Sensitivity_component_1","Record_1_Sensitivity_component_2","Record_1_Sensitivity_component_3","Record_2_Nb_peaks","Record_2_Peak_intensity_max_peak_1","Record_2_Peak_intensity_integrated_peak_1","Record_2_Peak_intensity_integrated_relative_peak_1","Record_2_Peak_temperature_peak_1","Record_2_Peak_intensity_peak_1","Record_2_Nb_components","Record_2_Cross_section_component_1","Record_2_Cross_section_component_2","Record_2_Cross_section_component_3","Record_2_Cross_section_relative_component_1","Record_2_Cross_section_relative_component_2","Record_2_Cross_section_relative_component_3","Record_2_Intensity_component_1","Record_2_Intensity_component_2","Record_2_Intensity_component_3","Record_2_Sensitivity_component_1","Record_2_Sensitivity_component_2","Record_2_Sensitivity_component_3","Record_3_Nb_peaks","Record_3_Peak_intensity_max_peak_1","Record_3_Peak_intensity_max_peak_2","Record_3_Peak_intensity_integrated_peak_1","Record_3_Peak_intensity_integrated_peak_2","Record_3_Peak_intensity_integrated_relative_peak_1","Record_3_Peak_intensity_integrated_relative_peak_2","Record_3_Peak_temperature_peak_1","Record_3_Peak_temperature_peak_2","Record_3_Peak_intensity_peak_1","Record_3_Peak_intensity_peak_2","Record_4_Nb_peaks","Record_4_Peak_intensity_max_peak_1","Record_4_Peak_intensity_max_peak_2","Record_4_Peak_intensity_max_peak_3","Record_4_Peak_intensity_max_peak_4","Record_4_Peak_intensity_max_peak_5","Record_4_Peak_intensity_max_peak_6","Record_4_Peak_intensity_integrated_peak_1","Record_4_Peak_intensity_integrated_peak_2","Record_4_Peak_intensity_integrated_peak_3","Record_4_Peak_intensity_integrated_peak_4","Record_4_Peak_intensity_integrated_peak_5","Record_4_Peak_intensity_integrated_peak_6","Record_4_Peak_intensity_integrated_relative_peak_1","Record_4_Peak_intensity_integrated_relative_peak_2","Record_4_Peak_intensity_integrated_relative_peak_3","Record_4_Peak_intensity_integrated_relative_peak_4","Record_4_Peak_intensity_integrated_relative_peak_5","Record_4_Peak_intensity_integrated_relative_peak_6","Record_4_Peak_temperature_peak_1","Record_4_Peak_temperature_peak_2","Record_4_Peak_temperature_peak_3","Record_4_Peak_temperature_peak_4","Record_4_Peak_temperature_peak_5","Record_4_Peak_temperature_peak_6","Record_4_Peak_intensity_peak_1","Record_4_Peak_intensity_peak_2","Record_4_Peak_intensity_peak_3","Record_4_Peak_intensity_peak_4","Record_4_Peak_intensity_peak_5","Record_4_Peak_intensity_peak_6","Record_3_Peak_intensity_max_peak_3","Record_3_Peak_intensity_integrated_peak_3","Record_3_Peak_intensity_integrated_relative_peak_3","Record_3_Peak_temperature_peak_3","Record_3_Peak_intensity_peak_3","Record_1_Peak_intensity_max_peak_2","Record_1_Frequency_factor_peak_2","Record_1_Peak_intensity_integrated_peak_2","Record_1_Peak_intensity_integrated_relative_peak_2","Record_1_Peak_temperature_peak_2","Record_1_Peak_intensity_peak_2","Record_5_Nb_peaks","Record_5_Peak_intensity_max_peak_1","Record_5_Peak_intensity_integrated_peak_1","Record_5_Peak_intensity_integrated_relative_peak_1","Record_5_Peak_temperature_peak_1","Record_5_Peak_intensity_peak_1","Pop_fraction"
"11","Record_1...11","S2",1,930.888131044959,9118728.67251413,66631.9596132462,1,564.15,985.516249335374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.21697177791172e-17,5.08964878669955e-20,0,1,0.001,0,903.713351800076,570463.87709099,0,18.0742670360015,11409.2775418198,0,2,426.160331843421,34.5318459876552,19810.0480838089,8478.7250839312,1,0.428001236951111,520.15,570.15,504.964543835336,354.094219226655,5,3254.00214807306,207119.209978747,1321.56269738807,133.876938378964,520.727881710546,0,71765.1025809659,5837196.00873157,87338.3661101026,29047.8623892862,24889.0134993182,0,1,81.3375275559037,1.21700329225569,0.404763058152314,0.346812205434226,0,289.15,348.15,386.15,521.15,568.15,0,3523.68203607713,205426.455587594,1257.47025171867,693.487140412228,378.818202441277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"12","Record_1...12","S2",1,974.028968044913,32863885.7925161,75888.9842089024,1,560.15,965.993377643502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.3160118823124e-17,5.04359036884189e-20,0,1,0.0012,0,1020.72149128129,700189.121202623,0,20.4144298256257,14003.7824240525,0,2,257.672980912393,331.546894684318,9567.92638033306,37731.722365832,1,3.94356319916819,523.15,568.15,504.339959771466,335.569568762308,5,3792.19346881754,234277.27332813,1814.29904050515,247.247502350474,564.797371440812,0,78420.7860368653,6586305.78900738,120019.393068866,10351.3464384877,65783.0793499094,0,1,83.9867351739013,1.53045383927222,0.131997483851049,0.838847487692677,0,289.15,347.15,387.15,453.15,519.15,0,4002.99751765749,232932.901916329,1613.22947019512,351.120095787735,717.685495806012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"13","Record_1...13","S2",1,946.952331590352,22184230.8645093,70681.4751195257,1,561.15,967.476926608403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.13245747408501e-17,4.71177578062339e-20,0,1,0.0011,0,888.041084837824,585399.692813149,0,17.7608216967565,11707.993856263,0,2,439.808054730855,308.376320652417,20725.0447641306,22525.0593291615,1,1.08685214365116,524.15,571.15,519.66977085125,340.192363339629,5,3604.39159850803,220144.297144323,1656.60522805365,290.217634778903,610.552573791543,0,78656.8392402681,6223288.30144288,95707.7392597756,13040.5238345429,69198.1313300199,0,1,79.119481046435,1.21677580976046,0.165790082089477,0.87974716500678,0,288.15,348.15,389.15,444.15,520.15,0,3774.77617494931,218733.853183487,1573.4469569475,352.732686964596,738.486848965509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"14","Record_1...14","S2",2,21.9795347082706,7204.3942281487,1339.83765142498,1,281.15,21.4215854567269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.60829833798417e-17,5.16198890781089e-20,0,1,9e-04,0,630.031607813056,359285.748976737,0,12.6006321562611,7185.71497953473,0,1,213.952739204963,0,25677.2107544114,0,1,0,522.15,0,274.404631629392,0,4,2017.02486965873,128499.669362989,934.138148003524,166.102932881612,0,0,46569.2833551943,3600021.92260341,54652.3413952685,29574.1092661917,0,0,1,77.3046451057716,1.17357059112168,0.63505613862733,0,0,289.15,347.15,388.15,519.15,0,0,2188.42449571189,127698.321613539,845.830766009402,375.73713016915,0,0,0,0,0,0,0,553.914049836723,24238994.9777298,44963.3009958344,33.5587680701567,536.15,526.814446223359,0,0,0,0,0,0,0.5
"15","Record_1...15","S2",1,458.190554654489,86578751.5146895,33829.6008012906,1,556.15,473.939458450324,1,3.51621115754052e-19,0,0,1,0,0,1958.22933616049,0,0,39.1645867232098,0,0,0,0,0,0,0,0,2,5.11188348940705e-17,5.74625310766596e-20,0,1,0.0011,0,627.37816872908,260340.540521226,0,12.5475633745816,5206.81081042453,0,1,208.288555052645,0,26755.854292222,0,1,0,524.15,0,277.880358416207,0,4,298.764427071278,123491.349147011,828.542405959931,263.267152940039,0,0,32196.0707602635,3473560.22664052,39126.3681714786,37685.2793565464,0,0,1,107.887706313765,1.2152528941441,1.1704931212618,0,0,348.15,390.15,450.15,519.15,0,0,122816.657600967,933.001822097162,227.601968451623,363.103810793389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"16","Record_1...16","S2",1,1223.66390657573,15686538.8791436,89599.4453646728,1,561.15,1233.957356135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.18283048515194e-17,4.73284533203643e-20,0,1,0.0011,0,1569.4994086169,881270.051349955,0,31.3899881723381,17625.4010269991,0,1,412.782963535738,0,16353.8218791444,0,1,0,523.15,0,685.831530682897,0,4,320494.498490761,2597.15011128771,369.262296515652,822.820635438625,0,0,9063529.4878332,129923.371724712,15674.8431396433,53451.9080358601,0,0,1,0.014334743644749,0.00172944140146342,0.00589747163151103,0,0,347.15,390.15,458.15,518.15,0,0,317679.430401328,2393.330162413,459.563368587381,940.870818479597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"17","Record_1...17","S2",2,19.6833704775788,2614.75602549261,1682.16877430382,1,286.15,20.9426477724029,2,1.28302494545901e-17,1.39271414163455e-19,0,1,0.0109,0,153.201340340662,4790.82504942124,0,3.06402680681324,95.8165009884248,0,0,0,0,0,0,0,2,3.77838647028671e-17,5.41668089339753e-20,0,1,0.0014,0,1601.81834915155,642703.519495175,0,32.036366983031,12854.0703899035,0,2,346.866996224348,341.661854396142,16282.0757131858,30793.8220844234,1,1.89127127442882,524.15,574.15,465.959240499668,359.974298916282,6,4629.71806084852,283782.655759535,2284.57648505101,426.20784641119,487.351045805403,385.589221207809,101092.189472914,7990620.56007537,125579.00032171,31083.5153201401,21251.1917350753,37546.8080009444,1,79.0429072882664,1.24222257897933,0.307476922620897,0.210215960756981,0.371411562027792,289.15,347.15,391.15,441.15,518.15,572.15,4919.7078726566,281952.886464345,2232.53500465402,425.337305725408,656.398342011709,409.395106861231,0,0,0,0,0,939.657703565599,16325710.247929,72753.634003932,43.2499016241945,564.15,976.307337845697,0,0,0,0,0,0,0.5
"18","Record_1...18","S2",1,816.465869168512,5415492.57434541,59574.4486290434,1,561.15,850.819725444717,2,2.18343880602329e-17,3.99413117241721e-19,0,1,0.0183,0,1176.02855895059,3274.93859583513,0,23.5205711790117,65.4987719167027,0,0,0,0,0,0,0,2,2.94770425650789e-17,6.87359253661393e-20,0,1,0.0023,0,3163.02232642959,442540.859775386,0,63.2604465285919,8850.81719550771,0,2,404.680350408427,294.253584328694,20287.192290007,19821.9053631904,1,0.977064991539229,522.15,574.15,471.652532347059,319.951646741379,4,212864.791171383,2079.03382042028,204.799346187594,789.778475388864,0,0,5934236.19136754,212020.030178332,6807.52549029706,75463.2095255915,0,0,1,0.035728276283771,0.00114716119661699,0.0127165834139475,0,0,347.15,391.15,451.15,517.15,0,0,212745.259384268,1662.51902776137,616.961648943999,945.856745352445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"19","Record_1...19","S2",1,635.286107652296,2498156.58282936,50934.1202467368,1,572.15,647.266764756558,3,1.44009554649461e-17,1.45339249169841e-18,2.98415749109758e-20,1,0.1009,0.0021,41.2530802330181,260.959993995432,16540.088917284,0.825061604660363,5.21919987990864,330.801778345681,0,0,0,0,0,0,3,6.88889424746484e-17,9.15909885859003e-18,3.93952978935198e-20,1,0.133,6e-04,518.758177646029,615.619036379151,488567.348228189,10.3751635529206,12.312380727583,9771.34696456379,2,249.770472582997,282.939896102205,12047.5125181923,25380.8069992959,1,2.10672592877324,530.15,577.15,354.884689470465,286.721018904091,5,1815.40434010024,141240.804907864,90.299328233402,295.857109338823,284.600328315866,0,196369.516546796,4047670.5168647,1772.33825326825,12403.6953733794,25559.9451708615,0,1,20.6125196417649,0.00902552638737027,0.0631650756772297,0.130162489679351,0,351.15,396.15,469.15,528.15,576.15,0,141714.311435419,984.349256501535,248.872059886983,450.703266205229,317.377929240758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"20","Record_1...20","S2",1,793.639068870328,10991645.8706111,58226.5613496122,1,562.15,810.111589441437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.12213803610661e-17,1.06325105902333e-17,4.56024451701725e-20,1,0.1309,6e-04,1429.01068192536,477.137097214596,479399.392640856,28.5802136385071,9.54274194429192,9587.98785281712,2,354.642626549507,259.578270716504,16382.9053428291,17486.3021339456,1,1.06735049541133,523.15,570.15,435.619595686906,291.941896776344,3,2045.02130603553,176357.503046919,466.887514328081,0,0,0,217360.147743114,4946636.18035534,47380.6143009299,0,0,0,1,22.7577880845089,0.217982067057326,0,0,0,348.15,386.15,519.15,0,0,0,176399.942509097,1106.74322831531,603.18197745514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
