"","filename","GOF.mean","GOF.SD","S1.mean","S1.SD","S2.mean","S2.SD","S3.mean","S3.SD","tracer_pair","tracers","error_threshold","score_threshold","nb_tracer","S1_CI_width","S2_CI_width","S3_CI_width","CI_width_sum","Manhattan_dist_median","Manhattan_dist_mean"
"41","0.25-0.5-0.25_all_sequence",0.894106900990099,0.0753440032308484,0.204975881188119,0.129011023240519,0.662286663366337,0.267000230764218,0.132737425742574,0.168931096737951,"Record_4_Peak_intensity_max_peak_3 Record_4_Peak_intensity_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2",NA,90,4,0.15745879126681,0.184468616581477,0.13234190389923,0.474269311747517,0.516356481605351,0.327917838040995
"42","0.25-0.5-0.25_all_sequence",0.906344475247525,0.0777036174167708,0.202554297029703,0.0922869971623895,0.686030465346535,0.22741673617861,0.111415277227723,0.164581628233477,"Record_4_Peak_intensity_max_peak_3 Record_4_Peak_intensity_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2",NA,90,5,0.156764120998455,0.181025950282752,0.122728993864193,0.460519065145399,0.497305481605351,0.37540537269446
"43","0.25-0.5-0.25_all_sequence",0.919148693069307,0.0496210126713961,0.21222902970297,0.0721470657222392,0.669207643564356,0.21486578698581,0.118563326732673,0.167418191375496,"Record_4_Peak_intensity_max_peak_3 Record_4_Peak_intensity_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1",NA,90,6,0.159487907760051,0.183520067129204,0.126094494907981,0.469102469797236,0.473272481605351,0.341759768734064
"44","0.25-0.5-0.25_all_sequence",0.907804148514851,0.0608308546070801,0.215901653465347,0.08087864350673,0.629021851485149,0.255088183525125,0.155076465346535,0.206518217239863,"Record_4_Peak_intensity_max_peak_3 Record_4_Peak_intensity_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1",NA,90,7,0.16048654713959,0.188422347883319,0.141191005314482,0.490099900337391,0.409004481605351,0.261388214278618
"45","0.25-0.5-0.25_all_sequence",0.924557415841584,0.0540135597657231,0.215480900990099,0.0617417113743221,0.67467097029703,0.213073921816606,0.109848168316832,0.170953916805089,"Record_4_Peak_intensity_max_peak_3 Record_4_Peak_intensity_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1-Record_1_Peak_intensity_peak_2",NA,90,8,0.160373102882774,0.182739655126605,0.121970227773987,0.465082985783366,0.467123481605351,0.35268638259545
"46","0.25-0.5-0.25_all_sequence",0.922675495049505,0.0595834683670939,0.226798811881188,0.0773185829796062,0.630579346534653,0.229855849058206,0.142621811881188,0.186903843687695,"Record_4_Peak_intensity_max_peak_3 Record_4_Peak_intensity_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1-Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_peak_1",NA,90,9,0.163339801712095,0.188259038940716,0.136396922100462,0.487995762753273,0.422545909698997,0.27662925623365
"47","0.25-0.5-0.25_all_sequence",0.938213504950495,0.0394482188316846,0.23094695049505,0.0466992718847684,0.623776831683168,0.219095602459477,0.145276277227723,0.189490546321188,"Record_4_Peak_intensity_max_peak_3 Record_4_Peak_intensity_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1-Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_1_Peak_intensity_peak_1",NA,90,10,0.164384038382293,0.188956905692806,0.137447109231108,0.490788053306207,0.422251909698997,0.271320414649492
"48","0.25-0.5-0.25_all_sequence",0.937365306930693,0.0498837277509896,0.220162069306931,0.0540590733021308,0.660863900990099,0.175557707203672,0.11897401980198,0.168541634488276,"Record_4_Peak_intensity_max_peak_3 Record_4_Peak_intensity_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1-Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_1_Peak_intensity_peak_1-Record_1_Peak_intensity_max_peak_1",NA,90,11,0.161621378615589,0.18465811803709,0.126283266060461,0.472562762713139,0.410926909698997,0.325072293486539
"49","0.25-0.5-0.25_all_sequence",0.921643237623762,0.0501150853963452,0.227161900990099,0.0578942423732283,0.595622069306931,0.185499854960604,0.177216069306931,0.169330239970022,"Record_4_Peak_intensity_max_peak_3 Record_4_Peak_intensity_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1-Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_1_Peak_intensity_peak_1-Record_1_Peak_intensity_max_peak_1-Record_1_Peak_intensity_integrated_relative_peak_2",NA,90,12,0.163432110522428,0.191427573103119,0.148942908558094,0.503802592183641,0.296718909698997,0.207440810689096
"50","0.25-0.5-0.25_all_sequence",0.890932633663366,0.0303312602694721,0.267343534653465,0.0472813818291226,0.406135841584158,0.116880955703975,0.326520673267327,0.114880032518981,"Record_4_Peak_intensity_max_peak_3 Record_4_Peak_intensity_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1-Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_1_Peak_intensity_peak_1-Record_1_Peak_intensity_max_peak_1-Record_1_Peak_intensity_integrated_relative_peak_2-Record_1_Frequency_factor_peak_2",NA,90,13,0.172627672944139,0.191559897736823,0.18291227708106,0.547099847762022,0.183158518394649,0.184383884731283
"51","0.25-0.5-0.25_all_sequence",0.894106900990099,0.0753440032308484,0.204975881188119,0.129011023240519,0.662286663366337,0.267000230764218,0.132737425742574,0.168931096737951,"Record_4_Frequency_factor_peak_3 Record_4_Peak_intensity_integrated_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2",NA,90,4,0.15745879126681,0.184468616581477,0.13234190389923,0.474269311747517,0.516356481605351,0.327917838040995
"52","0.25-0.5-0.25_all_sequence",0.906344475247525,0.0777036174167708,0.202554297029703,0.0922869971623895,0.686030465346535,0.22741673617861,0.111415277227723,0.164581628233477,"Record_4_Frequency_factor_peak_3 Record_4_Peak_intensity_integrated_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2",NA,90,5,0.156764120998455,0.181025950282752,0.122728993864193,0.460519065145399,0.497305481605351,0.37540537269446
"53","0.25-0.5-0.25_all_sequence",0.919148693069307,0.0496210126713961,0.21222902970297,0.0721470657222392,0.669207643564356,0.21486578698581,0.118563326732673,0.167418191375496,"Record_4_Frequency_factor_peak_3 Record_4_Peak_intensity_integrated_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1",NA,90,6,0.159487907760051,0.183520067129204,0.126094494907981,0.469102469797236,0.473272481605351,0.341759768734064
"54","0.25-0.5-0.25_all_sequence",0.907804148514851,0.0608308546070801,0.215901653465347,0.08087864350673,0.629021851485149,0.255088183525125,0.155076465346535,0.206518217239863,"Record_4_Frequency_factor_peak_3 Record_4_Peak_intensity_integrated_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1",NA,90,7,0.16048654713959,0.188422347883319,0.141191005314482,0.490099900337391,0.409004481605351,0.261388214278618
"55","0.25-0.5-0.25_all_sequence",0.924557415841584,0.0540135597657231,0.215480900990099,0.0617417113743221,0.67467097029703,0.213073921816606,0.109848168316832,0.170953916805089,"Record_4_Frequency_factor_peak_3 Record_4_Peak_intensity_integrated_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1-Record_1_Peak_intensity_peak_2",NA,90,8,0.160373102882774,0.182739655126605,0.121970227773987,0.465082985783366,0.467123481605351,0.35268638259545
"56","0.25-0.5-0.25_all_sequence",0.922675495049505,0.0595834683670939,0.226798811881188,0.0773185829796062,0.630579346534653,0.229855849058206,0.142621811881188,0.186903843687695,"Record_4_Frequency_factor_peak_3 Record_4_Peak_intensity_integrated_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1-Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_peak_1",NA,90,9,0.163339801712095,0.188259038940716,0.136396922100462,0.487995762753273,0.422545909698997,0.27662925623365
"57","0.25-0.5-0.25_all_sequence",0.938213504950495,0.0394482188316846,0.23094695049505,0.0466992718847684,0.623776831683168,0.219095602459477,0.145276277227723,0.189490546321188,"Record_4_Frequency_factor_peak_3 Record_4_Peak_intensity_integrated_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1-Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_1_Peak_intensity_peak_1",NA,90,10,0.164384038382293,0.188956905692806,0.137447109231108,0.490788053306207,0.422251909698997,0.271320414649492
"58","0.25-0.5-0.25_all_sequence",0.937365306930693,0.0498837277509896,0.220162069306931,0.0540590733021308,0.660863900990099,0.175557707203672,0.11897401980198,0.168541634488276,"Record_4_Frequency_factor_peak_3 Record_4_Peak_intensity_integrated_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1-Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_1_Peak_intensity_peak_1-Record_1_Peak_intensity_max_peak_1",NA,90,11,0.161621378615589,0.18465811803709,0.126283266060461,0.472562762713139,0.410926909698997,0.325072293486539
"59","0.25-0.5-0.25_all_sequence",0.921643237623762,0.0501150853963452,0.227161900990099,0.0578942423732283,0.595622069306931,0.185499854960604,0.177216069306931,0.169330239970022,"Record_4_Frequency_factor_peak_3 Record_4_Peak_intensity_integrated_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1-Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_1_Peak_intensity_peak_1-Record_1_Peak_intensity_max_peak_1-Record_1_Peak_intensity_integrated_relative_peak_2",NA,90,12,0.163432110522428,0.191427573103119,0.148942908558094,0.503802592183641,0.296718909698997,0.207440810689096
"60","0.25-0.5-0.25_all_sequence",0.890932633663366,0.0303312602694721,0.267343534653465,0.0472813818291226,0.406135841584158,0.116880955703975,0.326520673267327,0.114880032518981,"Record_4_Frequency_factor_peak_3 Record_4_Peak_intensity_integrated_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1-Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_1_Peak_intensity_peak_1-Record_1_Peak_intensity_max_peak_1-Record_1_Peak_intensity_integrated_relative_peak_2-Record_1_Frequency_factor_peak_2",NA,90,13,0.172627672944139,0.191559897736823,0.18291227708106,0.547099847762022,0.183158518394649,0.184383884731283
"61","0.25-0.5-0.25_all_sequence",0.894106900990099,0.0753440032308484,0.204975881188119,0.129011023240519,0.662286663366337,0.267000230764218,0.132737425742574,0.168931096737951,"Record_4_Frequency_factor_peak_3 Record_4_Peak_intensity_integrated_relative_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2",NA,90,4,0.15745879126681,0.184468616581477,0.13234190389923,0.474269311747517,0.516356481605351,0.327917838040995
"62","0.25-0.5-0.25_all_sequence",0.906344475247525,0.0777036174167708,0.202554297029703,0.0922869971623895,0.686030465346535,0.22741673617861,0.111415277227723,0.164581628233477,"Record_4_Frequency_factor_peak_3 Record_4_Peak_intensity_integrated_relative_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2",NA,90,5,0.156764120998455,0.181025950282752,0.122728993864193,0.460519065145399,0.497305481605351,0.37540537269446
"63","0.25-0.5-0.25_all_sequence",0.919148693069307,0.0496210126713961,0.21222902970297,0.0721470657222392,0.669207643564356,0.21486578698581,0.118563326732673,0.167418191375496,"Record_4_Frequency_factor_peak_3 Record_4_Peak_intensity_integrated_relative_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1",NA,90,6,0.159487907760051,0.183520067129204,0.126094494907981,0.469102469797236,0.473272481605351,0.341759768734064
"64","0.25-0.5-0.25_all_sequence",0.907804148514851,0.0608308546070801,0.215901653465347,0.08087864350673,0.629021851485149,0.255088183525125,0.155076465346535,0.206518217239863,"Record_4_Frequency_factor_peak_3 Record_4_Peak_intensity_integrated_relative_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1",NA,90,7,0.16048654713959,0.188422347883319,0.141191005314482,0.490099900337391,0.409004481605351,0.261388214278618
"65","0.25-0.5-0.25_all_sequence",0.924557415841584,0.0540135597657231,0.215480900990099,0.0617417113743221,0.67467097029703,0.213073921816606,0.109848168316832,0.170953916805089,"Record_4_Frequency_factor_peak_3 Record_4_Peak_intensity_integrated_relative_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1-Record_1_Peak_intensity_peak_2",NA,90,8,0.160373102882774,0.182739655126605,0.121970227773987,0.465082985783366,0.467123481605351,0.35268638259545
"66","0.25-0.5-0.25_all_sequence",0.922675495049505,0.0595834683670939,0.226798811881188,0.0773185829796062,0.630579346534653,0.229855849058206,0.142621811881188,0.186903843687695,"Record_4_Frequency_factor_peak_3 Record_4_Peak_intensity_integrated_relative_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1-Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_peak_1",NA,90,9,0.163339801712095,0.188259038940716,0.136396922100462,0.487995762753273,0.422545909698997,0.27662925623365
"67","0.25-0.5-0.25_all_sequence",0.938213504950495,0.0394482188316846,0.23094695049505,0.0466992718847684,0.623776831683168,0.219095602459477,0.145276277227723,0.189490546321188,"Record_4_Frequency_factor_peak_3 Record_4_Peak_intensity_integrated_relative_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1-Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_1_Peak_intensity_peak_1",NA,90,10,0.164384038382293,0.188956905692806,0.137447109231108,0.490788053306207,0.422251909698997,0.271320414649492
"68","0.25-0.5-0.25_all_sequence",0.937365306930693,0.0498837277509896,0.220162069306931,0.0540590733021308,0.660863900990099,0.175557707203672,0.11897401980198,0.168541634488276,"Record_4_Frequency_factor_peak_3 Record_4_Peak_intensity_integrated_relative_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1-Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_1_Peak_intensity_peak_1-Record_1_Peak_intensity_max_peak_1",NA,90,11,0.161621378615589,0.18465811803709,0.126283266060461,0.472562762713139,0.410926909698997,0.325072293486539
"69","0.25-0.5-0.25_all_sequence",0.921643237623762,0.0501150853963452,0.227161900990099,0.0578942423732283,0.595622069306931,0.185499854960604,0.177216069306931,0.169330239970022,"Record_4_Frequency_factor_peak_3 Record_4_Peak_intensity_integrated_relative_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1-Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_1_Peak_intensity_peak_1-Record_1_Peak_intensity_max_peak_1-Record_1_Peak_intensity_integrated_relative_peak_2",NA,90,12,0.163432110522428,0.191427573103119,0.148942908558094,0.503802592183641,0.296718909698997,0.207440810689096
"70","0.25-0.5-0.25_all_sequence",0.890932633663366,0.0303312602694721,0.267343534653465,0.0472813818291226,0.406135841584158,0.116880955703975,0.326520673267327,0.114880032518981,"Record_4_Frequency_factor_peak_3 Record_4_Peak_intensity_integrated_relative_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1-Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_1_Peak_intensity_peak_1-Record_1_Peak_intensity_max_peak_1-Record_1_Peak_intensity_integrated_relative_peak_2-Record_1_Frequency_factor_peak_2",NA,90,13,0.172627672944139,0.191559897736823,0.18291227708106,0.547099847762022,0.183158518394649,0.184383884731283
"71","0.25-0.5-0.25_all_sequence",0.894106900990099,0.0753440032308484,0.204975881188119,0.129011023240519,0.662286663366337,0.267000230764218,0.132737425742574,0.168931096737951,"Record_4_Frequency_factor_peak_3 Record_4_Peak_temperature_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2",NA,90,4,0.15745879126681,0.184468616581477,0.13234190389923,0.474269311747517,0.516356481605351,0.327917838040995
"72","0.25-0.5-0.25_all_sequence",0.906344475247525,0.0777036174167708,0.202554297029703,0.0922869971623895,0.686030465346535,0.22741673617861,0.111415277227723,0.164581628233477,"Record_4_Frequency_factor_peak_3 Record_4_Peak_temperature_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2",NA,90,5,0.156764120998455,0.181025950282752,0.122728993864193,0.460519065145399,0.497305481605351,0.37540537269446
"73","0.25-0.5-0.25_all_sequence",0.919148693069307,0.0496210126713961,0.21222902970297,0.0721470657222392,0.669207643564356,0.21486578698581,0.118563326732673,0.167418191375496,"Record_4_Frequency_factor_peak_3 Record_4_Peak_temperature_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1",NA,90,6,0.159487907760051,0.183520067129204,0.126094494907981,0.469102469797236,0.473272481605351,0.341759768734064
"74","0.25-0.5-0.25_all_sequence",0.907804148514851,0.0608308546070801,0.215901653465347,0.08087864350673,0.629021851485149,0.255088183525125,0.155076465346535,0.206518217239863,"Record_4_Frequency_factor_peak_3 Record_4_Peak_temperature_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1",NA,90,7,0.16048654713959,0.188422347883319,0.141191005314482,0.490099900337391,0.409004481605351,0.261388214278618
"75","0.25-0.5-0.25_all_sequence",0.924557415841584,0.0540135597657231,0.215480900990099,0.0617417113743221,0.67467097029703,0.213073921816606,0.109848168316832,0.170953916805089,"Record_4_Frequency_factor_peak_3 Record_4_Peak_temperature_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1-Record_1_Peak_intensity_peak_2",NA,90,8,0.160373102882774,0.182739655126605,0.121970227773987,0.465082985783366,0.467123481605351,0.35268638259545
"76","0.25-0.5-0.25_all_sequence",0.922675495049505,0.0595834683670939,0.226798811881188,0.0773185829796062,0.630579346534653,0.229855849058206,0.142621811881188,0.186903843687695,"Record_4_Frequency_factor_peak_3 Record_4_Peak_temperature_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1-Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_peak_1",NA,90,9,0.163339801712095,0.188259038940716,0.136396922100462,0.487995762753273,0.422545909698997,0.27662925623365
"77","0.25-0.5-0.25_all_sequence",0.938213504950495,0.0394482188316846,0.23094695049505,0.0466992718847684,0.623776831683168,0.219095602459477,0.145276277227723,0.189490546321188,"Record_4_Frequency_factor_peak_3 Record_4_Peak_temperature_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1-Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_1_Peak_intensity_peak_1",NA,90,10,0.164384038382293,0.188956905692806,0.137447109231108,0.490788053306207,0.422251909698997,0.271320414649492
"78","0.25-0.5-0.25_all_sequence",0.937365306930693,0.0498837277509896,0.220162069306931,0.0540590733021308,0.660863900990099,0.175557707203672,0.11897401980198,0.168541634488276,"Record_4_Frequency_factor_peak_3 Record_4_Peak_temperature_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1-Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_1_Peak_intensity_peak_1-Record_1_Peak_intensity_max_peak_1",NA,90,11,0.161621378615589,0.18465811803709,0.126283266060461,0.472562762713139,0.410926909698997,0.325072293486539
"79","0.25-0.5-0.25_all_sequence",0.921643237623762,0.0501150853963452,0.227161900990099,0.0578942423732283,0.595622069306931,0.185499854960604,0.177216069306931,0.169330239970022,"Record_4_Frequency_factor_peak_3 Record_4_Peak_temperature_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1-Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_1_Peak_intensity_peak_1-Record_1_Peak_intensity_max_peak_1-Record_1_Peak_intensity_integrated_relative_peak_2",NA,90,12,0.163432110522428,0.191427573103119,0.148942908558094,0.503802592183641,0.296718909698997,0.207440810689096
"80","0.25-0.5-0.25_all_sequence",0.890932633663366,0.0303312602694721,0.267343534653465,0.0472813818291226,0.406135841584158,0.116880955703975,0.326520673267327,0.114880032518981,"Record_4_Frequency_factor_peak_3 Record_4_Peak_temperature_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_1_Sensitivity_component_1-Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_1_Peak_intensity_peak_1-Record_1_Peak_intensity_max_peak_1-Record_1_Peak_intensity_integrated_relative_peak_2-Record_1_Frequency_factor_peak_2",NA,90,13,0.172627672944139,0.191559897736823,0.18291227708106,0.547099847762022,0.183158518394649,0.184383884731283
"81","0.25-0.5-0.25_all_sequence",0.894106900990099,0.0753440032308484,0.204975881188119,0.129011023240519,0.662286663366337,0.267000230764218,0.132737425742574,0.168931096737951,"Record_4_Frequency_factor_peak_3 Record_4_Peak_intensity_peak_3","Record_1_Frequency_factor_peak_1-Record_1_Peak_temperature_peak_1-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2",NA,90,4,0.15745879126681,0.184468616581477,0.13234190389923,0.474269311747517,0.516356481605351,0.327917838040995
